rating_avg,pages,author_followers
3.73,240 pages,book96
4.53,336 pages,15.1k
3.92,341 pages,1304
3.62,336 pages,1053
3.81,640 pages,1133
3.77,555 pages,7996
3.57,320 pages,17.1k
3.98,288 pages,1063
4.43,416 pages,1554
4.07,409 pages,24.6k
3.0,352 pages,18
3.68,243 pages,2763
4.12,384 pages,2487
4.08,320 pages,3051
4.29,256 pages,563
4.34,304 pages,6431
3.76,224 pages,23
3.66,248 pages,6852
4.0,370 pages,4603
3.9,518 pages,34k
3.8,368 pages,520
3.97,256 pages,612
3.55,225 pages,8
4.34,504 pages,20.9k
4.08,352 pages,144
4.04,204 pages,928
3.93,310 pages,80.1k
3.99,439 pages,5857
3.73,404 pages,258
3.5,192 pages,7
4.03,406 pages,30.9k
3.88,466 pages,10.5k
3.56,256 pages,89
4.18,439 pages,7630
3.86,411 pages,683
4.14,500 pages,23
4.25,216 pages,805
3.89,283 pages,18
3.64,350 pages,11.8k
3.87,304 pages,2924
4.15,304 pages,8451
3.48,104 pages,22k
4.24,175 pages,1906
3.92,398 pages,1213
4.23,293 pages,104
3.76,406 pages,793
3.91,767 pages,11.9k
4.17,136 pages,2
4.06,320 pages,16.6k
4.47,202 pages,2579
4.02,32 pages,23
3.59,578 pages,94
3.41,224 pages,87
3.85,336 pages,6624
4.28,375 pages,29.8k
3.69,593 pages,1722
4.22,318 pages,13.4k
3.72,368 pages,342
3.69,250 pages,459
4.05,464 pages,3
4.34,941 pages,650
3.84,384 pages,97
3.5,366 pages,3846
4.27,389 pages,1802
4.35,480 pages,94.1k
3.88,32 pages,837
3.8,48 pages,9746
4.29,ebook,8312
4.11,32 pages,105
4.37,443 pages,864
4.11,464 pages,80.1k
3.42,Paperback,24
4.55,425 pages,11.3k
3.86,368 pages,23.8k
3.5,352 pages,113
3.5,304 pages,4
4.08,282 pages,2184
4.16,352 pages,12.6k
3.91,336 pages,484
3.95,251 pages,6852
3.82,384 pages,1339
4.02,270 pages,16.5k
3.79,216 pages,3053
3.96,483 pages,140k
4.25,334 pages,1149
4.01,272 pages,221
3.71,373 pages,447
3.27,400 pages,49
4.0,340 pages,51
4.51,135 pages,58
3.82,299 pages,17.6k
3.74,435 pages,435
3.85,166 pages,155
3.45,Audio Play,129
4.13,384 pages,56.5k
4.27,440 pages,581
4.38,372 pages,2244
3.59,247 pages,1235
3.67,373 pages,6074
4.03,256 pages,35.5k
3.9,197 pages,5
4.19,296 pages,94.1k
4.29,176 pages,36
3.08,232 pages,0
4.22,364 pages,28
3.8,403 pages,4453
3.62,215 pages,16.7k
3.76,380 pages,1375
4.06,400 pages,15.1k
4.01,295 pages,35.8k
3.95,477 pages,17.2k
4.86,207 pages,6
3.06,40 pages,30
3.62,135 pages,57
3.47,294 pages,511
3.86,496 pages,1013
4.52,405 pages,18.2k
4.06,408 pages,275
3.63,401 pages,8719
4.01,298 pages,2128
3.95,273 pages,131
4.01,277 pages,2638
3.9,356 pages,3108
4.63,160 pages,0
4.04,437 pages,53.7k
3.67,152 pages,7915
4.18,496 pages,107
4.06,400 pages,6740
4.1,ebook,86
